id,titre,module,outil_ia,paragraphe,texte_prompt
1,Prompt permettant de créer une page web,Module 5,"Claude, Github",§1,"RÔLE
Vous êtes un·e assistant·e expert·e en création de pages web pédagogiques destinées à des stagiaires adultes.
OBJECTIF
Concevoir, valider et déployer une page web unique, claire et accessible, présentant une formation
CONTRAINTES
1. Collecte des données obligatoires
o Titre et intitulé exact de la formation
o Programme détaillé (programme.pdf, fichier PDF placé à la racine du dépôt GitHub)
o Livret stagiaire (livret-stagiaire.pdf, si disponible, fichier PDF placé à la racine du dépôt GitHub)
o Dates, lieu et adresse complète 
o Logo (logo.png, image placée à la racine du dépôt GitHub)
o Illustration ou indication de thème
2. Génération de la page HTML/CSS responsive (une seule section)
o Fichier principal unique : index.html, situé à la racine du dépôt GitHub
o Header : titre + accroche (logo chargé via un chemin relatif simple, ex. logo.png)
o Programme : accordéon par module 
o Mot du formateur : Video youtube avec le lien URL
o Carte interactive : intégration Google Maps
o Téléchargements : boutons PDF pointant vers programme.pdf et livret-stagiaire.pdf (liens relatifs directs, sans sous-dossier)
o Visuel thématique : image ou bannière (chemin relatif simple)
o Footer : contact du formateur + lien vers la politique d'inclusion et de gestion du handicap de l'organisme de formation
o Respect des bonnes pratiques : mise en page aérée, contraste élevé, taille de police adaptée, accessibilité et RSE
3. Validation et itérations
o Afficher la première version en contexte réel (prévisualisation GitHub Pages)
o Poser 2–3 questions ouvertes (structure, visuel, fonctionnalités)
o Intégrer les retours et produire une version révisée et adapter le html en conséquence
4. Ton & style
o Ton clair, engageant et pragmatique
o Vocabulaire simple et direct
5. Questions initiales à poser
o Quel est le titre exact de la formation ?
o Pouvez-vous fournir programme.pdf et, le cas échéant, livret-stagiaire.pdf ?
o Disposez-vous déjà du logo.png et d'une illustration ou souhaitez-vous une proposition de thème ?
o Avez-vous des préférences graphiques (couleurs, police) ?
o Dates et lieux de la formation ?
o Url de la video de présentation Youtube
o Liste des documents ainsi que leurs noms dont il va falloir prévoir un bouton de téléchargement ?"
2,Prompt 1 - Les trucs et astuces pour avoir des réponses de qualité - la fonction memory,Module 1,"ChatGPT, Gemini",§3,"L'utilisateur souhaite que la commande ""/promptimage"" déclenche une demande de mise en pièce jointe d'une image, puis que l'assistant génère le prompt permettant de régénérer cette image."
3,Prompt 2 - Les trucs et astuces pour avoir des réponses de qualité - la fonction memory,Module 1,"ChatGPT, Gemini",§3,"L'utilisateur souhaite que, lorsqu'il utilise la commande ""/VeilleIA"", l'assistant se connecte à internet, notamment sur des sites spécialisés autour de l'IA (francophones ou anglophones). L'assistant doit éviter les articles génériques, de culture générale ou d'opinion, et privilégier des articles pratiques sur les nouveautés IA en entreprise. Les résultats doivent être présentés sous la forme d'un tableau à trois colonnes : 1. La nouveauté IA, 2. Un bref descriptif, 3. La source pour en savoir plus"
4,Le prompt correcteur de prompt,Module 1,TouteIAG,§3,"Rôle : Agis en tant que relecteur critique expert en ingénierie de prompts. Passe en revue les prompts proposés par d'autres IA ou par l'utilisateur. 
Objectif : Identifie les forces et faiblesses du prompt analysé, et propose au moins 3 améliorations concrètes. Estime la pertinence potentielle du prompt pour la tâche. 
Contraintes : Sois factuel et rigoureux, sans complaisance. Structure : ""Analyse critique"", ""Suggestions d'amélioration"", ""Conclusion sur la qualité du prompt"". Si le prompt est flou/incomplet, reformule une version optimisée."
5,Le metaprompt,Module 1,TouteIAG,§3,"Agis en tant qu'ingénieur de prompt. Parcours cette conversation et crée un prompt détaillé en markdown, dans un bloc de code, qui résume tous les retours que je t'ai donnés, ayant permis d'aboutir au résultat final ci-dessus. Inclue l'exemple réussi ci-dessus comme illustration dans le prompt généré."
6,Prompt pour la recherche approfondie,Module 1,TouteIAG,§3,"Rôle : Agis en tant que formateur expérimenté en entreprise et spécialiste du management.
Objectif : je cherche à construire une offre et une formation sur le thème du management à distance et la gestion des équipes hybrides c'est à dire mix présentiel et mix distanciel.
Contraintes :
En effet depuis l'augmentation du télétravail apprendre à gérer ses équipes à distance est devenu plus difficile et le risque est de créer des équipes à deux vitesses. Ou alors on arrive à des absurdités où même les équipes sur site se mettent en distanciel ""pour mettre tout le monde sur un pied d'égalité"". Autre sujet qui fâche, demander aux équipes de changer leurs jours de télétravail.
Pars sur les hypothèses suivantes : 1 journée en présentiel de formation pour personnes déjà managers et un coaching distanciel un mois plus tard
Je souhaite que
- Tu me fasses une étude de marché des offres déjà existantes chez mes concurrents sous la forme d'un tableau avec le descriptif des modalités (durée, prix….) et le lien url en toutes lettres permettant d'en savoir plus. Tu limiteras ta recherche à des prestations comprises entre 3000 et 5000 euros HT
- Tu me construis une offre au format word en t'inspirant
- Du contexte de ce que je t'ai donné,
- De la formation en management que je te mets en pièce jointe (nom du fichier Formation standard Manager). Tu verras c'est une formation standard sur le management. J'aimerais que tu revisites les concepts mais au regard de la complexité du distanciel et des équipes hybrides. Tu garderas par exemple un rappel de ce que manager veut dire et la définition du bon manager mais tu revisiteras cette définition au regard de la complexité du management hybride
- Je te mets en pièce jointe une structure vierge de mes programmes de formation (programme_vierge). Tu repartiras de cette structure que tu laisseras inchangée mais tu me proposeras une façon de la remplir en fonction de ton travail (le prix, les objectifs, les différentes séquences….).
- Tu me fais le déroulé pédagogique associé sous le modèle en pièce jointe (fichier Exemple de déroulé pédagogique). Tu veilleras à ce que chaque séquence respecte la règle des 3A : un appel, un apport, un ancrage. Tu me généreras ton résultat sous la forme d'un tableau
- Tu me fais le livret stagiaire ultra détaillé et séquence par séquence au format word avec des trous basé sur le déroulé pédagogique. Souvent mes livrets stagiaires vont a minima une vingtaine de pages. Je t'en mets un en pièce jointe à titre d'exemple
- Tu me fais le slideshow : c'est-à-dire que tu me feras le support powerpoint en lien avec le déroulé et en résonnance du livret stagiaire
- Tu me proposeras 3 quiz de fin de cours de 10 questions chacun : un simple, un moyen et un complexe afin que je puisse vérifier que les connaissances sont bien acquises
- Tu me fais un podcast promotionnel qui parle de ma formation. Les auditeurs sont mes clients, sponsors de la formation, stagiaires, RH et dirigeants en lien avec le sujet, il faut que cela dure 2 minutes max. Celui qui parle c'est l'avatar du formateur. Tu veilleras donc à faire un langage direct. Pas de bullet point
Très important : tu as le droit de me poser des questions d'éclaircissements mais une fois que je te les ai données, tu fais toutes les étapes d'un coup sans t'interrompre et sans me demander validation. On verra bien à la fin ensemble 😊"
7,Le prompt permettant de décrire le persona - sa réalité - son problème - ses enjeux,Module 2,TouteIAG,§1,"Rôle : Agis en tant que formateur expérimenté en entreprise et spécialiste de la thématique < A compléter en fonction de votre contexte>. Tu es expert Qualiopi et tu connais toutes les exigences réglementaires du référentiel. Tu es en particulier au fait de toutes les pédagogies favorisant l'inclusion et limitant les risques de mises en situation de handicap.
Objectif : Ton objectif est de m'aider dans un premier temps à décrire mon persona, sa réalité, ce qu'il vit, son problème et ses enjeux
Contraintes :
Etape 1 : tu me demandes de décrire mon persona de la façon la plus spécifique et exhaustive possible
Etape 2 : tu commences par me décrire le ou les persona que tu distingues dans le brief issu de l'étape 1. Tu décris
• Réel : spécifiquement ce qu'il vit
• Problème : tu expliques spécifiquement en quoi ce qu'il vit est un problème. Ce qu'il aimerait atteindre, ce qui se passe s'il ne fait rien ? Tu décris aussi la cible qu'il aimerait vivre
Etape 3 : tu proposes jusque 5 enjeux pour lui en les notant de 1 à 10 et en justifiant"
8,Le prompt permettant de faire la liste des compétences à travailler,Module 2,TouteIAG,§1,"Rôle : agis en tant qu'expert en ingénierie pédagogique. Tu maitrises toutes les techniques pédagogiques modernes, participatives. Tu maitrises la ludopédagogie et la taxonomie de Bloom. Tu es expert Qualiopi et tu connais toutes les exigences réglementaires du référentiel.
Objectif : basé sur ce que tu sais de mon persona, tu devras me lister les 10 compétences à travailler en les écrivant selon la taxonomie de Bloom. Pour chaque compétence tu mettras une note sur 10 qui évaluera l'importance de travailler cette compétence dans le cadre de la formation
Contraintes :
basé sur ce que tu sais de mon persona, organise les résultats sur la forme d'un tableau en 3 colonnes : la première colonne donne le numéro de la ligne, la seconde colonne donne la compétence à travailler et la troisième colonne donne la note sur 10."
9,Le prompt permettant de proposer le bon dispositif d'accompagnement,Module 2,TouteIAG,§1,"Rôle : Agis en tant que conseiller pédagogique expert en ingénierie de formation en entreprise, certifié Qualiopi, spécialiste des parcours blended et des modalités pédagogiques innovantes.
Objectif : proposer plusieurs modalités d'accompagnement pour résoudre le problème d'un persona 
Contraintes : 
Voici les données d'entrée :
1. Problème exprimé par le client : voir ce que tu sais du persona et < A compléter au besoin >. 
2. Contexte de l'entreprise : [secteur, taille, localisation, culture] - voir ce que tu sais du persona et < A compléter au besoin >. 
3. Contraintes exprimées par le client (temps, budget, logistique, durée…) : voir ce que tu sais du persona et < A compléter au besoin >. 
4. Contraintes liées aux stagiaires :
   - Format privilégié (présentiel / distanciel / hybride) < A compléter au besoin >.
   - Dispositif mobile ou ordinateur obligatoire ? < A compléter au besoin >.
   - Contraintes d'agenda (rythme, dispersion géographique) < A compléter au besoin >.
5. Impact attendu de l'intervention : [prise de conscience, changement de posture, amélioration de pratiques…] < A compléter au besoin >.
Ta mission :
✅ Proposer au moins 3 modalités pédagogiques complémentaires ou alternatives à la simple formation
✅ Pour chaque modalité, précise : les objectifs pédagogiques servis, les avantages concrets pour le client, les contraintes levées ou respectées, l'expérience stagiaire
✅ Ajoute une recommandation stratégique pour aider le formateur à challenger la demande du client"
10,Le prompt permettant de définir un déroulé pédagogique et les objectifs SMARTs associés,Module 2,TouteIAG,§1,"Rôle : Tu es un ingénieur pédagogique expert en formation professionnelle, spécialiste de la conception de dispositifs innovants, certifié Qualiopi, et connaisseur des exigences réglementaires et des pédagogies inclusives. Tu maîtrises l'andragogie, la ludopédagogie, la classe inversée, et la facilitation collective.
Objectif : À partir d'un besoin exprimé par un persona et des modalités choisies par un client, ta mission est de proposer un déroulé pédagogique structuré, innovant et réaliste, ainsi que 5 objectifs SMART à atteindre à la fin de la formation.
Tâches :
1. Construis un déroulé de formation comprenant obligatoirement :
• 20 minutes d'introduction avec : présentation, icebreaker, recueil des attentes, présentation des objectifs.
• Une pause de 20 minutes au milieu de chaque demi journée.
• Une conclusion de 20 minutes : évaluation à chaud, identification d'un apprentissage clé, définition d'un petit pas à mettre en œuvre.
• Le temps restant doit être réparti en séquences pédagogiques innovantes et inclusives.
2. Propose 5 objectifs SMART que les participants doivent atteindre à l'issue de cette formation.
Rendu : tableau des séquences + tableau des 5 objectifs SMART."
